gene,transcript
1700022I11Rik,ENSMUST00000030163
1810046K07Rik,ENSMUST00000039959
5031425F14Rik,ENSMUST00000127920
5730522E02Rik,ENSMUST00000109511
Acta2,ENSMUST00000039631
Adam2,ENSMUST00000022618
Adamts2,ENSMUST00000040523
Adamts4,ENSMUST00000111314
Adra1b,ENSMUST00000167574
Alk,ENSMUST00000086639
Ankfn1,ENSMUST00000169201
Ano4,ENSMUST00000182341
Aqp4,ENSMUST00000079081
Asic4,ENSMUST00000037708
B4galnt2,ENSMUST00000038343
B4galnt3,ENSMUST00000212457
Barx2,ENSMUST00000116615
Bcl11b,ENSMUST00000066060
Bdnf,ENSMUST00000111050
Bgn,ENSMUST00000033741
Blnk,ENSMUST00000117695
Bmpr1b,ENSMUST00000029948
Brinp3,ENSMUST00000074622
C1ql3,ENSMUST00000061545
C1qtnf7,ENSMUST00000076939
Cacng5,ENSMUST00000039071
Calb2,ENSMUST00000003754
Camk2d,ENSMUST00000106402
Car3,ENSMUST00000029076
Cbln2,ENSMUST00000169470
Cbln4,ENSMUST00000087950
Ccbe1,ENSMUST00000130300
Ccdc162,ENSMUST00000099932
Ccdc3,ENSMUST00000027988
Ccdc80,ENSMUST00000061050
Ccnb1,ENSMUST00000091295
Cd14,ENSMUST00000061829
Cd24a,ENSMUST00000058714
Cdca7,ENSMUST00000102691
Cdcp1,ENSMUST00000039229
Cdh12,ENSMUST00000227496
Cdh13,ENSMUST00000117160
Cdh20,ENSMUST00000062528
Cdh9,ENSMUST00000228307
Ceacam9,ENSMUST00000001984
Cemip,ENSMUST00000064174
Chat,ENSMUST00000070125
Chn2,ENSMUST00000067741
Chodl,ENSMUST00000023568
Chrm2,ENSMUST00000172278
Chrna2,ENSMUST00000022620
Cldn5,ENSMUST00000043577
Clrn1,ENSMUST00000072551
Cntnap5b,ENSMUST00000188735
Cobll1,ENSMUST00000090896
Col14a1,ENSMUST00000023053
Col15a1,ENSMUST00000107730
Col23a1,ENSMUST00000102765
Col24a1,ENSMUST00000029848
Col25a1,ENSMUST00000106353
Corin,ENSMUST00000167460
Cplx3,ENSMUST00000045068
Crhr2,ENSMUST00000003568
Crispld2,ENSMUST00000132583
Cspg4,ENSMUST00000035661
Ctss,ENSMUST00000116304
Cux2,ENSMUST00000111752
Cxcl14,ENSMUST00000021970
Daam2,ENSMUST00000224595
Dmkn,ENSMUST00000041703
Dnase1l3,ENSMUST00000026315
Dscaml1,ENSMUST00000034592
Egfem1,ENSMUST00000119598
Egfr,ENSMUST00000020329
Egln3,ENSMUST00000039516
Egr2,ENSMUST00000048289
Elfn1,ENSMUST00000050519
Enpp6,ENSMUST00000039840
Epha7,ENSMUST00000080934
Fam19a2,ENSMUST00000050756
Fam84b,ENSMUST00000100635
Fbxl7,ENSMUST00000059204
Fezf2,ENSMUST00000022262
Flrt3,ENSMUST00000110057
Flt1,ENSMUST00000031653
Fndc7,ENSMUST00000102620
Fosb,ENSMUST00000208505
Foxp2,ENSMUST00000031545
Frem2,ENSMUST00000091137
Fst,ENSMUST00000022287
Gfap,ENSMUST00000067444
Glra1,ENSMUST00000102716
Gpc6,ENSMUST00000125435
Grik1,ENSMUST00000072256
Grin3a,ENSMUST00000076674
Grm1,ENSMUST00000044306
Grm8,ENSMUST00000115323
Hpse,ENSMUST00000045617
Hs3st5,ENSMUST00000168572
Igf2,ENSMUST00000097936
Igfbp4,ENSMUST00000017637
Igfbp5,ENSMUST00000027377
Ikzf2,ENSMUST00000027146
Il1rapl2,ENSMUST00000113063
Il4ra,ENSMUST00000033004
Inpp4b,ENSMUST00000213285
Iqgap2,ENSMUST00000068603
Itgb8,ENSMUST00000026360
Kcng1,ENSMUST00000109191
Kcnj8,ENSMUST00000203945
L3mbtl4,ENSMUST00000124543
Lama3,ENSMUST00000188815
Lhx6,ENSMUST00000112966
Lmo1,ENSMUST00000036992
Lsp1,ENSMUST00000149521
Ltf,ENSMUST00000035077
Luzp2,ENSMUST00000082373
Lypd1,ENSMUST00000159417
Lyzl4,ENSMUST00000077706
March1,ENSMUST00000072482
Marcksl1,ENSMUST00000062356
Meis2,ENSMUST00000110906
Moxd1,ENSMUST00000095784
Mrc1,ENSMUST00000028045
Mrgprx2,ENSMUST00000098433
Muc20,ENSMUST00000115116
Myh14,ENSMUST00000107899
Ndst4,ENSMUST00000173932
Nhs,ENSMUST00000087085
Nkain3,ENSMUST00000119374
Nnmt,ENSMUST00000034808
Nos1,ENSMUST00000142742
Npas1,ENSMUST00000210748
Npnt,ENSMUST00000117811
Npsr1,ENSMUST00000059650
Npy2r,ENSMUST00000098997
Nr2f2,ENSMUST00000032768
Nr4a1,ENSMUST00000023779
Nr4a2,ENSMUST00000028166
Ntng2,ENSMUST00000102873
Nxph1,ENSMUST00000160300
Nxph2,ENSMUST00000102945
Nxph4,ENSMUST00000095266
Olah,ENSMUST00000027955
Olfm3,ENSMUST00000051309
Opalin,ENSMUST00000087176
Oprk1,ENSMUST00000160777
Osr1,ENSMUST00000057021
Otof,ENSMUST00000074171
Parm1,ENSMUST00000040576
Pcdh8,ENSMUST00000195355
Pde11a,ENSMUST00000099992
Pdgfc,ENSMUST00000029652
Pdgfra,ENSMUST00000000476
Pdlim5,ENSMUST00000029941
Phactr2,ENSMUST00000105545
Plch1,ENSMUST00000175947
Plcxd3,ENSMUST00000061925
Pld5,ENSMUST00000065967
Plekhg3,ENSMUST00000219063
Pou3f1,ENSMUST00000053491
Pou3f3,ENSMUST00000054883
Pou6f2,ENSMUST00000139064
Prdm8,ENSMUST00000210477
Prok2,ENSMUST00000101120
Prokr2,ENSMUST00000110157
Prox1,ENSMUST00000175916
Prr16,ENSMUST00000116639
Prss12,ENSMUST00000029603
Prss23,ENSMUST00000207932
Ptger3,ENSMUST00000173533
Ptprk,ENSMUST00000166468
Ptprm,ENSMUST00000037974
Ptprt,ENSMUST00000109445
Ptpru,ENSMUST00000105987
Pxdc1,ENSMUST00000053459
Ramp1,ENSMUST00000097648
Reln,ENSMUST00000161356
Rerg,ENSMUST00000117919
Rfx3,ENSMUST00000165566
Rgs5,ENSMUST00000027997
Rgs6,ENSMUST00000186458
Rnf152,ENSMUST00000172299
Ror1,ENSMUST00000039630
Rorb,ENSMUST00000112832
Rspo1,ENSMUST00000030687
Rxfp1,ENSMUST00000078527
Rxfp2,ENSMUST00000065745
Satb2,ENSMUST00000177424
Scgn,ENSMUST00000021770
Sema3e,ENSMUST00000073957
Sema5a,ENSMUST00000067458
Serpinf1,ENSMUST00000000769
Sertm1,ENSMUST00000162201
Sgcd,ENSMUST00000109220
Shisa9,ENSMUST00000023138
Slc17a6,ENSMUST00000032710
Slc17a8,ENSMUST00000020102
Slc25a13,ENSMUST00000015256
Slc30a3,ENSMUST00000031037
Slc32a1,ENSMUST00000045738
Slc44a5,ENSMUST00000089948
Slco5a1,ENSMUST00000188454
Sncg,ENSMUST00000023826
Sox10,ENSMUST00000040019
Sox6,ENSMUST00000206034
Sp8,ENSMUST00000063918
Spon1,ENSMUST00000046687
St6galnac5,ENSMUST00000044278
Sulf1,ENSMUST00000185780
Sulf2,ENSMUST00000088086
Syndig1,ENSMUST00000109935
Syt10,ENSMUST00000029441
Syt6,ENSMUST00000090697
Tbc1d4,ENSMUST00000100340
Tcap,ENSMUST00000008021
Teddm3,ENSMUST00000170665
Tenm3,ENSMUST00000033965
Th,ENSMUST00000000219
Thbs2,ENSMUST00000170872
Thsd7a,ENSMUST00000172356
Timp3,ENSMUST00000020234
Tmem163,ENSMUST00000160616
Tmtc2,ENSMUST00000061506
Tnfaip6,ENSMUST00000065927
Tox,ENSMUST00000039987
Trp53i11,ENSMUST00000090554
Trpc4,ENSMUST00000029311
Trpc6,ENSMUST00000050433
Tshz2,ENSMUST00000109159
Tunar,ENSMUST00000180458
Ubash3b,ENSMUST00000044155
Unc13c,ENSMUST00000184666
Unc5b,ENSMUST00000077925
Unc5d,ENSMUST00000168630
Ust,ENSMUST00000061601
Vipr2,ENSMUST00000011315
Vtn,ENSMUST00000017488
Vwc2,ENSMUST00000109681
Wipf3,ENSMUST00000163746
Wnt7b,ENSMUST00000023015
Zfp804b,ENSMUST00000200317
