barcode,color
Stv_3,[0]
Stv_4,[0]
Stv_5,[0]
Stv_6,[0]
Stv_7,[0]
Stv_8,[0]
Stv_9,[0]
Stv_10,[0]
Stv_11,[0]
Stv_12,[0]
Stv_13,[0]
Stv_14,[0]
Stv_16,[0]
Stv_19,[0]
Stv_20,[0]
Stv_21,[0]
Stv_22,[0]
Stv_23,[0]
Stv_25,[0]
Stv_26,[0]
Stv_27,[0]
Stv_28,[0]
Stv_29,[0]
Stv_30,[0]
Stv_31,[0]
Stv_32,[1]
Stv_33,[1]
Stv_35,[1]
Stv_36,[1]
Stv_37,[1]
Stv_39,[1]
Stv_40,[1]
Stv_42,[1]
Stv_44,[1]
Stv_45,[1]
Stv_46,[1]
Stv_48,[1]
Stv_50,[1]
Stv_53,[1]
Stv_54,[1]
Stv_59,[1]
Stv_60,[1]
Stv_61,[1]
Stv_63,[1]
Stv_64,[1]
Stv_65,[1]
Stv_86,[1]
Stv_87,[1]
Stv_88,[1]
Stv_90,[1]
Stv_91,[2]
Stv_92,[2]
Stv_94,[2]
Stv_95,[2]
Stv_99,[2]
Stv_100,[2]
Stv_101,[2]
Stv_104,[2]
Stv_105,[2]
Stv_106,[2]
Stv_107,[2]
Stv_109,[2]
Stv_118,[2]
Stv_119,[2]
Stv_120,[2]
Stv_121,[2]
Stv_125,[2]
Stv_127,[2]
Stv_129,[2]
Stv_130,[2]
Stv_131,[2]
Stv_133,[2]
Stv_136,[2]
Stv_145,[2]
Stv_182,[2]
